t,bytes_rate,connection_rate,anomaly_score,V,dVdt,risk,action,authorized
0.0,100000.0,1000.0,0.0,505000.0,0.0,low,pass,True
0.01,20000.0,200.0,0.0,20200.0,-48480000.0,low,pass,True
0.02,15000.0,150.0,0.0,11362.5,-883750.0,low,pass,True
0.03,13333.333333333334,133.33333333333334,0.0,8977.77777777778,-238472.22222222213,low,pass,True
0.04,12500.0,125.0,0.0,7890.625,-108715.2777777779,low,pass,True
0.05,12000.0,120.0,0.0,7272.0,-61862.499999999985,low,pass,True
0.06,11666.666666666668,116.66666666666667,0.0,6873.611111111113,-39838.88888888871,low,pass,True
0.07,11428.571428571428,114.28571428571428,0.0,6595.918367346938,-27769.2743764175,low,pass,True
0.08,11250.0,112.5,0.0,6391.40625,-20451.2117346938,low,pass,True
0.09,11111.111111111111,111.11111111111111,0.0,6234.567901234568,-15683.834876543195,low,pass,True
0.1,11000.0,110.0,0.0,6110.5,-12406.790123456802,low,pass,True
0.11,10909.09090909091,109.0909090909091,0.0,6009.917355371901,-10058.264462809899,low,pass,True
0.12,10833.333333333334,108.33333333333334,0.0,5926.736111111112,-8318.124426078888,low,pass,True
0.13,10769.23076923077,107.6923076923077,0.0,5856.804733727811,-6993.1377383300905,low,pass,True
0.14,10714.285714285714,107.14285714285714,0.0,5797.19387755102,-5961.08561767914,low,pass,True
0.15,10666.666666666668,106.66666666666667,0.0,5745.777777777779,-5141.60997732407,low,pass,True
0.16,10625.0,106.25,0.0,5700.9765625,-4480.121527777916,low,pass,True
0.17,10588.235294117647,105.88235294117646,0.0,5661.59169550173,-3938.4866998269863,low,pass,True
0.18,10555.555555555557,105.55555555555556,0.0,5626.6975308641995,-3489.4164637530657,low,pass,True
0.19,10526.315789473683,105.26315789473684,0.0,5595.56786703601,-3112.9663828189196,low,pass,True
0.2,10500.0,105.0,0.0,5567.625,-2794.286703601026,low,pass,True
0.21,10476.190476190477,104.76190476190476,0.0,5542.403628117915,-2522.137188208494,low,pass,True
0.22,10454.545454545454,104.54545454545455,0.0,5519.52479338843,-2287.883472948486,low,pass,True
0.23,10434.782608695652,104.34782608695652,0.0,5498.67674858223,-2084.8044806200032,low,pass,True
0.24,10416.666666666668,104.16666666666667,0.0,5479.600694444447,-1907.605413778314,low,pass,True
0.25,10400.0,104.0,0.0,5462.08,-1752.0694444447129,low,pass,True
0.26,10384.615384615385,103.84615384615384,0.0,5445.931952662722,-1614.804733727759,low,pass,True
0.27,10370.37037037037,103.7037037037037,0.0,5431.001371742113,-1493.0580920608904,low,pass,True
0.28,10357.142857142857,103.57142857142856,0.0,5417.155612244898,-1384.5759497215101,low,pass,True
0.29,10344.827586206897,103.44827586206897,0.0,5404.280618311534,-1287.4993933363899,low,pass,True
0.3,10333.333333333334,103.33333333333334,0.0,5392.277777777778,-1200.284053375616,low,pass,True
0.31,10322.58064516129,103.22580645161291,0.0,5381.061394380852,-1121.6383396926167,low,pass,True
0.32,10312.5,103.125,0.0,5370.556640625,-1050.4753755852098,low,pass,True
0.33,10303.030303030302,103.03030303030303,0.0,5360.697887970614,-985.8752654386071,low,pass,True
0.34,10294.117647058823,102.94117647058823,0.0,5351.427335640138,-927.0552330475758,low,pass,True
0.35000000000000003,10285.714285714284,102.85714285714285,0.0,5342.693877551019,-873.3458089119259,low,pass,True
0.36,10277.777777777777,102.77777777777779,0.0,5334.452160493826,-824.1717057192584,low,pass,True
0.37,10270.27027027027,102.70270270270271,0.0,5326.661796932066,-779.036356176038,low,pass,True
0.38,10263.157894736842,102.63157894736842,0.0,5319.286703601108,-737.50933309584,low,pass,True
0.39,10256.410256410256,102.56410256410255,0.0,5312.294543063773,-699.2160537334706,low,pass,True
0.4,10250.0,102.5,0.0,5305.65625,-663.8293063772829,low,pass,True
0.41000000000000003,10243.90243902439,102.4390243902439,0.0,5299.345627602618,-631.0622397381843,low,pass,True
0.42,10238.095238095239,102.38095238095238,0.0,5293.339002267574,-600.662533504422,low,pass,True
0.43,10232.558139534884,102.32558139534883,0.0,5287.6149269875605,-572.407528001349,low,pass,True
