scenario,t,bytes_rate,connection_rate,anomaly_score,V,dVdt,risk,action,authorized
low,0.0,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.01,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.02,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.03,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.04,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.05,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.06,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.07,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.08,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.09,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.1,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.11,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.12,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.13,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.14,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.15,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.16,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.17,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.18,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.19,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.2,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.21,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.22,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.23,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.24,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.25,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.26,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.27,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.28,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.29,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.3,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.31,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.32,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.33,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.34,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.35000000000000003,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.36,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.37,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.38,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.39,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.4,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.41000000000000003,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.42,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.43,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.44,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.45,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.46,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.47000000000000003,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.48,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.49,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.5,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.51,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.52,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.53,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.54,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.55,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.56,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.5700000000000001,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.58,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.59,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.6,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.61,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.62,1000.0,10.0,0.0,50.5,0.0,low,pass,True
low,0.63,1000.0,10.0,0.0,50.5,0.0,low,pass,True
